Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Haven,UNIWAY,NXS OGS,13,2,3,0,2,10,"Breach,Sova,Killjoy,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Haven,REH Gaming,Gladius,13,10,9,2,8,4,"Cypher,Sova,Omen,Neon,Iso","Killjoy,Viper,Omen,Jett,Skye"
Sunset,Ailurus eSports,DSQ Esports,13,6,10,2,4,3,"Raze,Cypher,Sova,Omen,Gekko","Breach,Cypher,Sova,Omen,Neon"
Sunset,OnlyFins,InTenZive,13,11,8,4,7,5,"Breach,Raze,Cypher,Sova,Clove","Raze,Cypher,Sova,Omen,Gekko"
Bind,OOT Esports,STAKERS,13,10,5,7,3,8,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Sunset,RYL | Royal Legion,Apinaorkesteri,3,13,3,9,4,0,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Haven,Akatsuki,Lootcifer,9,13,6,4,9,3,"Breach,Sova,Killjoy,Omen,Jett","Killjoy,Viper,Omen,Skye,Neon"
Haven,Grow uP eSports,Purge eSports,13,6,10,2,4,3,"Breach,Sova,Killjoy,Omen,Neon","Breach,Cypher,Omen,Jett,Gekko"
Haven,Da Gangalang,5STARS,6,13,4,8,5,2,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Bind,Sakura Breeze,Fellas in Paris,9,13,4,6,7,5,"Raze,Viper,Omen,Yoru,Fade","Raze,Viper,Brimstone,Skye,Gekko"
Lotus,REY eSports,Hidden Horizon EAST,13,9,5,5,4,8,"Raze,Killjoy,Viper,Omen,Fade","Breach,Cypher,Sova,Omen,Neon"
Icebox,SnuTek eSports,Glacial Guardians,7,13,3,9,4,4,"Breach,Sova,Killjoy,Viper,Jett","Killjoy,Viper,Jett,KAY/O,Gekko"
