Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Bind,Trust In Plug,ROSE,14,12,5,8,4,9,"Raze,Viper,Brimstone,Skye,Deadlock","Raze,Skye,Astra,Gekko,Deadlock"
Haven,Antares Esports,Illicit Gaming,13,11,10,2,9,3,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Viper,Omen,Yoru"
Split,SaD Esports,ROSE,13,9,6,6,3,7,"Raze,Yoru,Astra,Fade,Deadlock","Raze,Viper,Skye,Astra,Neon"
Haven,Trust In Plug,Blue Otter,8,13,5,7,6,3,"Breach,Sova,Omen,Chamber,Neon","Breach,Cypher,Sova,Omen,Neon"
Pearl,SaD Esports,ROSE,13,0,12,0,0,1,"Cypher,Sova,Astra,KAY/O,Neon","Killjoy,Yoru,Astra,Neon,Fade"
Sunset,Trust In Plug,Blue Otter,13,5,3,3,2,10,"Breach,Cypher,Omen,Neon,Gekko","Breach,Cypher,Sova,Omen,Neon"
Ascent,Antares Esports,Illicit Gaming,13,8,9,3,5,4,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,Deadlock"
Abyss,SaD Esports,ROSE,11,13,9,3,10,2,"Cypher,Sova,Viper,Yoru,Astra","Sova,Jett,Yoru,Astra,Deadlock"
Ascent,Trust In Plug,Blue Otter,8,13,1,8,5,7,"Cypher,Sova,Omen,Yoru,Deadlock","Cypher,Sova,Omen,Yoru,Deadlock"
Haven,Nightblood Gaming,QoR,13,10,6,5,5,7,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Split,Nightblood Gaming,QoR,12,14,6,7,7,6,"Cypher,Viper,Reyna,Omen,Skye","Yoru,Astra,Neon,Fade,Deadlock"
Ascent,Nightblood Gaming,QoR,13,7,7,5,2,6,"Cypher,Sova,Omen,Yoru,Deadlock","Cypher,Sova,Omen,Yoru,Deadlock"
Ascent,RANKERS,Nightblood Gaming,13,5,9,3,2,4,"Cypher,Sova,Jett,Yoru,Clove","Cypher,Sova,Omen,Yoru,Deadlock"
Split,Turtle Troop,QoR,11,13,7,5,8,4,"Raze,Viper,Omen,Jett,Skye","Yoru,Astra,Neon,Fade,Deadlock"
Sunset,RANKERS,Nightblood Gaming,13,5,8,4,1,5,"Cypher,Sova,Yoru,Neon,Clove","Breach,Cypher,Omen,Neon,Fade"
Pearl,Turtle Troop,QoR,11,13,7,5,8,4,"Breach,Sova,Killjoy,Astra,Neon","Killjoy,Astra,KAY/O,Neon,Fade"
Bind,MYVRA,Antares Esports,3,13,3,9,4,0,"Raze,Viper,Brimstone,Skye","Brimstone,Skye,Neon,Gekko,Deadlock"
Bind,RANKERS,Nightblood Gaming,14,16,8,7,9,6,"Raze,Skye,Yoru,Deadlock,Clove","Viper,Brimstone,Skye,Neon,Deadlock"
Abyss,Turtle Troop,QoR,13,5,8,4,1,5,"Sova,Omen,Jett,Astra","Cypher,Sova,Omen,Yoru,Deadlock"
Pearl,MYVRA,Antares Esports,9,13,6,6,7,3,"Cypher,Astra,KAY/O,Neon,Fade","Killjoy,Astra,KAY/O,Neon,Fade"
Sunset,QoR,Nightblood Gaming,9,13,2,10,3,7,"Breach,Cypher,Omen,Neon,Fade","Breach,Cypher,Omen,Neon,Fade"
Sunset,Chivas Esports,Illicit Gaming,7,13,2,6,7,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,KAY/O,Neon"
Pearl,QoR,Nightblood Gaming,13,10,6,6,4,7,"Killjoy,Astra,KAY/O,Neon,Fade","Killjoy,Astra,KAY/O,Neon,Fade"
Haven,Chivas Esports,Illicit Gaming,13,15,6,8,7,7,"Breach,Viper,Omen,Neon,Deadlock","Cypher,Sova,Viper,Omen,Yoru"
